F641;"Municipal and City Level Small Area Poverty Estimates;  2018 and 2021";;;;;;;;;
PSGC;Region/Province;Municipality/City;Poverty Incidence;;Coefficient of Variation;;90% Confidence Interval;;;
;;;;;;;;;;
;;;2018;2021;2018;2021;2018;;2021;
ID;;;;;;;Lower Limit;Upper Limit;Lower Limit;Upper Limit
;National Capital Region (NCR);;;;;;;;;
12823;;Vintar;4,2;6,6;21,3;13,3;2,7;5,6;5,2;8,1
12901;Ilocos Sur;Alilem;8,7;22,6;24,7;14,3;5,2;12,2;17,3;28,0
12902;;Banayoyo;6,1;12,5;30,4;19,8;3,0;9,1;8,4;16,6
12903;;Bantay;3,2;12,0;25,5;11,4;1,9;4,5;9,7;14,3
12904;;Burgos;6,5;18,6;21,1;9,6;4,2;8,7;15,7;21,5
12905;;Cabugao;6,6;18,2;17,1;8,5;4,8;8,5;15,7;20,8
12906;;City of Candon;5,6;15,6;16,6;7,9;4,1;7,1;13,6;17,6
12907;;Caoayan;4,1;12,5;27,7;12,2;2,2;5,9;10,0;15,0
12908;;Cervantes;11,2;22,8;21,8;11,5;7,2;15,2;18,5;27,1
12909;;Galimuyod;6,9;15,2;21,4;12,4;4,5;9,3;12,1;18,3
12910;;Gregorio del Pilar;9,7;19,3;24,6;17,8;5,8;13,7;13,7;25,0
12911;;Lidlidda;6,8;14,2;29,7;16,4;3,5;10,1;10,4;18,0
12912;;Magsingal;4,4;18,0;24,0;9,8;2,7;6,2;15,1;20,9
12913;;Nagbukel;6,5;20,4;26,7;12,6;3,7;9,4;16,2;24,7
12914;;Narvacan;6,2;16,1;17,2;9,0;4,5;8,0;13,7;18,5
12915;;Quirino;11,0;22,9;21,8;12,0;7,0;14,9;18,4;27,5
12916;;Salcedo;7,4;20,6;20,0;9,4;5,0;9,8;17,4;23,8
12917;;San Emilio;10,8;21,6;26,1;16,8;6,2;15,4;15,7;27,6
12918;;San Esteban;4,8;14,1;33,7;15,1;2,2;7,5;10,6;17,6
12919;;San Ildefonso;3,8;10,5;26,6;16,2;2,2;5,5;7,7;13,4
12920;;San Juan;4,9;16,6;14,0;9,5;3,7;6,0;14,0;19,2
12921;;San Vicente;3,3;10,4;39,9;22,8;1,1;5,5;6,5;14,3
12922;;Santa;4,8;13,1;27,4;10,4;2,6;6,9;10,9;15,4
12923;;Santa Catalina;5,9;10,1;32,5;23,7;2,7;9,0;6,1;14,0
12924;;Santa Cruz;6,9;19,2;14,1;6,6;5,3;8,6;17,1;21,2
12925;;Santa Lucia;6,3;15,9;16,2;9,0;4,6;8,0;13,5;18,3
12926;;Santa Maria;4,7;15,8;18,0;10,5;3,3;6,1;13,0;18,5
12927;;Santiago;5,7;16,5;22,6;11,4;3,6;7,8;13,4;19,6
12928;;Santo Domingo;4,3;12,9;19,5;10,8;2,9;5,7;10,6;15,2
12929;;Sigay;9,5;18,3;31,3;24,8;4,6;14,3;10,8;25,7
12930;;Sinait;5,6;17,7;19,3;9,9;3,9;7,4;14,8;20,6
12931;;Sugpon;10,1;34,2;29,1;12,6;5,3;14,9;27,1;41,3
12932;;Suyo;7,9;19,3;29,3;13,3;4,1;11,7;15,1;23,6
12933;;Tagudin;6,4;17,2;15,9;8,4;4,7;8,1;14,8;19,6
12934;;City of Vigan;2,4;8,7;23,6;15,3;1,5;3,4;6,5;10,9
13301;La Union;Agoo;3,3;8,7;18,4;8,2;2,3;4,3;7,5;9,8
13302;;Aringay;4,4;10,7;21,9;11,2;2,8;6,0;8,8;12,7
13303;;Bacnotan;1,5;6,5;30,8;11,6;0,7;2,2;5,3;7,8
13304;;Bagulin;5,5;16,2;34,7;16,2;2,4;8,6;11,9;20,5
13305;;Balaoan;3,2;9,5;20,9;9,9;2,1;4,3;7,9;11,0
13306;;Bangar;3,8;10,0;24,5;12,2;2,3;5,4;8,0;12,0
13307;;Bauang;3,1;7,5;21,9;10,8;2,0;4,2;6,2;8,9
13308;;Burgos;4,0;10,7;39,0;17,7;1,5;6,6;7,6;13,8
13309;;Caba;3,1;10,5;33,8;13,9;1,4;4,8;8,1;12,9
13310;;Luna;3,3;8,7;18,8;9,7;2,3;4,3;7,3;10,1
13311;;Naguilian;2,8;9,0;19,9;9,9;1,9;3,7;7,5;10,5
13312;;Pugo;3,2;10,0;31,0;12,1;1,6;4,8;8,0;12,0
13313;;Rosario;3,6;10,7;20,3;9,7;2,4;4,7;9,0;12,4
13314;;City of San Fernando;1,3;5,1;29,9;13,3;0,6;1,9;4,0;6,2
13315;;San Gabriel;5,8;13,5;25,4;15,2;3,4;8,2;10,1;16,9
13316;;San Juan;1,8;7,3;29,7;11,1;0,9;2,7;6,0;8,6
13317;;Santo Tomas;3,4;10,5;24,3;11,3;2,0;4,7;8,6;12,5
13318;;Santol;5,3;16,9;26,9;14,5;3,0;7,7;12,9;21,0
13319;;Sudipen;4,0;11,3;26,1;12,5;2,3;5,6;9,0;13,6
13320;;Tubao;3,7;10,8;26,8;12,3;2,1;5,3;8,6;12,9
15501;Pangasinan;Agno;11,7;23,2;19,9;9,7;7,9;15,5;19,5;26,9
15502;;Aguilar;16,2;21,3;13,8;9,5;12,5;19,9;18,0;24,7
15503;;City of Alaminos;7,8;17,5;16,4;7,9;5,7;9,8;15,2;19,8
15504;;Alcala;12,2;17,1;15,2;10,4;9,2;15,3;14,2;20,1
15505;;Anda;12,4;21,4;15,6;9,7;9,2;15,6;18,0;24,8
15506;;Asingan;10,4;15,7;15,6;10,4;7,8;13,1;13,0;18,3
15507;;Balungo;9,5;15,7;16,4;11,7;6,9;12,1;12,6;18,7
15508;;Bani;10,6;20,0;14,6;8,8;8,1;13,1;17,1;22,9
15509;;Basista;14,5;18,5;16,4;11,9;10,6;18,4;14,9;22,2
15510;;Bautista;14,8;17,6;15,6;12,5;11,0;18,6;14,0;21,2
15511;;Bayambang;14,7;19,4;8,5;5,9;12,6;16,7;17,5;21,3
15512;;Binalonan;6,9;13,5;19,7;11,9;4,7;9,2;10,9;16,1
15513;;Binmaley;6,6;15,2;18,3;9,8;4,6;8,5;12,8;17,7
15514;;Bolinao;16,3;23,8;12,5;8,0;12,9;19,6;20,7;26,9
15515;;Bugallon;15,3;19,5;13,2;8,6;12,0;18,6;16,7;22,2
15516;;Burgos;12,3;19,9;16,7;11,6;8,9;15,6;16,1;23,7
15517;;Calasiao;7,8;14,7;17,3;11,1;5,6;10,0;12,0;17,4
15518;;City of Dagupan;9,2;14,4;18,3;11,7;6,4;12,0;11,6;17,2
15519;;Dasol;13,1;23,0;14,6;9,2;10,0;16,3;19,5;26,4
15520;;Infanta;12,8;21,0;17,8;13,0;9,0;16,5;16,5;25,5
15521;;Labrador;10,5;17,3;24,1;13,1;6,3;14,6;13,6;21,0
