F641;"Municipal and City Level Small Area Poverty Estimates;  2018 and 2021";;;;;;;;;
PSGC;Region/Province;Municipality/City;Poverty Incidence;;Coefficient of Variation;;90% Confidence Interval;;;
;;;;;;;;;;
;;;2018;2021;2018;2021;2018;;2021;
ID;;;;;;;Lower Limit;Upper Limit;Lower Limit;Upper Limit
;National Capital Region (NCR);;;;;;;;;
175905;;Concepcion;17,2;20,7;16,0;13,6;12,7;21,7;16,0;25,3
175906;;Corcuera;19,9;10,1;13,6;7,9;15,5;24,3;8,8;11,4
175907;;Looc;20,2;39,6;13,8;6,8;15,6;24,8;35,2;44,1
175908;;Magdiwang;26,1;29,3;14,9;20,5;19,7;32,4;19,4;39,2
175909;;Odiongan;9,6;42,6;14,3;8,8;7,4;11,9;36,4;48,7
175910;;Romblon;21,7;38,6;12,3;10,2;17,3;26,1;32,1;45,1
175911;;San Agustin;25,4;27,4;12,4;15,2;20,2;30,5;20,5;34,3
175912;;San Andres;21,8;35,6;13,1;5,2;17,1;26,5;32,5;38,7
175913;;San Fernando;29,3;37,7;12,6;12,0;23,2;35,3;30,3;45,1
175914;;San Jose;27,9;40,0;18,8;7,8;19,3;36,6;34,9;45,1
175915;;Santa Fe;26,5;23,2;13,5;8,8;20,7;32,4;19,9;26,6
175916;;Ferrol;20,3;34,2;20,4;9,8;13,5;27,0;28,7;39,7
175917;;Santa Maria;19,4;40,1;18,7;3,6;13,5;25,4;37,7;42,5
;Region V (Bicol Region);;;;;;;;;
50501;Albay;Bacacay;31,5;27,3;7,1;6,9;27,8;35,2;24,2;30,4
50502;;Camalig;21,1;23,4;9,3;8,2;17,8;24,3;20,2;26,5
50503;;Daraga (Locsin);13,5;15,5;10,9;8,8;11,1;15,9;13,2;17,7
50504;;Guinobatan;25,6;21,9;7,7;7,4;22,4;28,9;19,2;24,6
50505;;Jovellar;37,5;37,0;8,6;8,3;32,2;42,9;31,9;42,0
50506;;City of Legazpi;13,8;17,6;9,1;5,8;11,7;15,8;15,9;19,3
50507;;Libon;37,4;33,3;6,9;6,1;33,1;41,6;29,9;36,6
50508;;City of Ligao;23,1;24,7;6,9;6,0;20,4;25,7;22,3;27,2
50509;;Malilipot;26,1;21,3;11,1;11,1;21,3;30,9;17,4;25,2
50510;;Malinao;33,7;28,3;7,5;7,4;29,5;37,8;24,8;31,7
50511;;Manito;37,2;29,0;9,3;11,6;31,5;42,9;23,4;34,5
50512;;Oas;34,2;31,4;5,8;6,0;31,0;37,5;28,3;34,5
50513;;Pio Duran;37,5;31,4;7,6;7,2;32,8;42,2;27,7;35,1
50514;;Polangui;21,3;22,3;8,1;6,3;18,5;24,2;20,0;24,6
50515;;Rapu-Rapu;42,7;38,8;6,2;7,2;38,3;47,1;34,2;43,4
50516;;Santo Domingo;23,0;17,9;12,9;11,0;18,1;27,9;14,7;21,1
50517;;City of Tabaco;19,8;20,2;9,5;7,6;16,7;22,9;17,7;22,7
50518;;Tiwi;23,6;24,7;11,9;8,6;19,0;28,2;21,2;28,2
51601;Camarines Norte;Basud;22,4;21,8;11,0;8,0;18,3;26,4;18,9;24,7
51602;;Capalonga;38,7;32,4;8,1;7,5;33,6;43,9;28,4;36,4
51603;;Daet;14,7;12,5;13,7;10,2;11,4;18,1;10,4;14,5
51604;;San Lorenzo Ruiz;31,6;20,7;15,5;13,6;23,5;39,7;16,1;25,3
51605;;Jose Panganiban;34,5;26,4;8,5;7,4;29,7;39,3;23,2;29,6
51606;;Labo;25,1;24,1;8,1;5,8;21,7;28,4;21,8;26,4
51607;;Mercedes;36,9;22,4;9,1;8,9;31,3;42,4;19,1;25,7
51608;;Paracale;37,6;28,6;8,7;7,7;32,2;43,0;25,0;32,2
51609;;San Vicente;27,2;22,1;16,2;13,4;20,0;34,5;17,3;27,0
51610;;Santa Elena;35,8;23,6;11,7;11,4;28,9;42,7;19,2;28,1
51611;;Talisay;24,5;14,2;11,5;12,6;19,8;29,1;11,3;17,2
51612;;Vinzons;24,3;27,2;12,9;10,3;19,2;29,5;22,6;31,8
51701;Camarines Sur;Baao;26,2;35,4;10,7;7,9;21,6;30,8;30,7;40,0
51702;;Balatan;38,4;48,8;12,1;9,7;30,7;46,0;41,0;56,5
51703;;Bato;30,9;37,3;9,5;7,9;26,0;35,7;32,5;42,1
51704;;Bombon;23,8;34,4;17,2;12,8;17,0;30,5;27,1;41,6
51705;;Buhi;29,8;36,8;8,8;6,8;25,5;34,2;32,6;40,9
51706;;Bula;25,1;42,6;10,7;6,7;20,7;29,4;38,0;47,3
51707;;Cabusao;28,1;39,4;17,2;13,1;20,1;36,0;31,0;47,9
51708;;Calabanga;26,8;38,1;8,0;6,2;23,2;30,3;34,2;42,0
51709;;Camaligan;17,4;23,1;15,9;14,5;12,9;22,0;17,6;28,6
51710;;Canaman;13,9;29,3;13,2;9,1;10,9;17,0;24,9;33,7
51711;;Caramoan;25,3;45,1;9,7;6,0;21,3;29,4;40,6;49,5
51712;;Del Gallego;30,6;39,9;9,7;7,7;25,7;35,5;34,8;45,0
51713;;Gainza;26,1;28,8;16,0;12,9;19,2;33,0;22,7;35,0
51714;;Garchitorena;41,2;53,2;7,8;6,6;35,9;46,4;47,4;59,1
51715;;Goa;28,6;36,0;9,4;6,9;24,2;33,0;32,0;40,1
51716;;City of Iriga;13,6;28,4;12,8;8,9;10,8;16,5;24,3;32,6
51717;;Lagonoy;30,1;37,7;8,0;7,1;26,1;34,0;33,3;42,2
51718;;Libmanan;29,5;40,7;6,8;5,4;26,2;32,8;37,1;44,4
51719;;Lupi;20,6;38,3;12,5;7,8;16,4;24,9;33,4;43,2
51720;;Magarao;16,3;31,0;18,7;11,2;11,3;21,3;25,3;36,7
51721;;Milaor;17,7;27,6;14,8;10,5;13,4;22,0;22,8;32,3
51722;;Minalabac;32,2;40,5;9,6;7,9;27,1;37,3;35,3;45,8
51723;;Nabua;15,5;32,8;12,6;6,7;12,3;18,7;29,2;36,4
51724;;City of Naga;9,1;21,4;17,8;9,5;6,5;11,8;18,0;24,7
51725;;Ocampo;31,0;38,8;8,8;6,5;26,5;35,5;34,7;43,0
51726;;Pamplona;30,8;36,8;12,2;10,2;24,6;37,0;30,6;42,9
51727;;Pasacao;32,8;44,9;11,6;6,5;26,5;39,0;40,1;49,7
51728;;Pili;16,1;29,9;13,3;7,9;12,5;19,6;26,0;33,8
51729;;Presentacion;38,0;48,0;10,9;9,0;31,2;44,9;40,9;55,1
51730;;Ragay;30,4;40,6;9,6;6,3;25,6;35,2;36,4;44,9
51731;;Sagñay;33,9;45,0;11,2;7,2;27,7;40,2;39,7;50,3
51732;;San Fernando;28,0;33,5;10,9;8,3;23,0;33,1;29,0;38,1
51733;;San Jose;24,9;33,8;9,4;7,6;21,1;28,8;29,5;38,0
51734;;Sipocot;29,1;36,9;9,1;6,9;24,8;33,5;32,7;41,1
51735;;Siruma;37,8;49,7;9,7;7,3;31,7;43,8;43,7;55,7
51736;;Tigaon;28,7;40,2;9,2;7,0;24,4;33,0;35,6;44,9
51737;;Tinambac;36,8;47,7;7,4;6,0;32,3;41,2;43,0;52,4
52001;Catanduanes;Bagamanoc;22,7;30,0;14,4;7,9;17,3;28,1;26,1;33,9
52002;;Baras;25,7;20,5;10,6;10,0;21,2;30,1;17,1;23,9
52003;;Bato;14,6;18,3;16,0;10,5;10,7;18,4;15,2;21,5
52004;;Caramoran;34,9;32,4;9,1;6,4;29,6;40,1;29,0;35,8
52005;;Gigmoto;27,1;25,4;13,6;12,2;21,0;33,2;20,3;30,5
52006;;Pandan;22,8;32,7;11,8;6,4;18,3;27,2;29,2;36,1
52007;;Panganiban;21,9;25,3;13,7;8,9;17,0;26,9;21,6;29,1
52008;;San Andres;25,5;24,4;10,0;6,0;21,3;29,7;22,0;26,8
52009;;San Miguel;26,7;29,1;12,2;7,7;21,4;32,1;25,4;32,8
52010;;Viga;29,1;33,4;8,6;6,2;24,9;33,2;29,9;36,8
52011;;Virac;11,2;15,1;11,3;5,8;9,1;13,2;13,6;16,5
54101;Masbate;Aroroy;37,3;29,9;7,1;6,2;32,9;41,6;26,9;33,0
54102;;Baleno;33,1;24,2;9,1;9,1;28,1;38,0;20,6;27,8
54103;;Balud;31,7;28,5;8,3;8,6;27,4;36,1;24,4;32,5
54104;;Batuan;29,3;25,6;11,6;12,0;23,7;34,9;20,6;30,7
54105;;Cataingan;23,4;23,4;10,1;7,9;19,5;27,3;20,4;26,5
54106;;Cawayan;24,3;27,6;9,9;8,8;20,3;28,2;23,6;31,7
54107;;Claveria;36,3;33,5;9,9;8,1;30,4;42,3;29,1;38,0
54108;;Dimasalang;33,9;25,0;10,4;10,1;28,2;39,7;20,8;29,2
54109;;Esperanza;31,7;25,7;9,5;8,7;26,7;36,6;22,1;29,4
54110;;Mandaon;32,4;25,4;9,3;9,0;27,4;37,3;21,6;29,2
54111;;City of Masbate;19,6;15,9;11,2;11,2;16,0;23,2;13,0;18,9
54112;;Milagros;36,4;28,6;7,6;7,8;31,8;40,9;24,9;32,3
54113;;Mobo;24,7;23,2;10,3;8,5;20,5;28,8;19,9;26,4
54114;;Monreal;39,8;30,5;10,3;8,0;33,0;46,5;26,5;34,5
54115;;Palanas;30,5;26,6;10,0;7,0;25,5;35,5;23,5;29,6
54116;;Pio V. Corpuz;29,7;22,0;10,4;10,5;24,7;34,8;18,2;25,9
54117;;Placer;33,1;29,9;7,6;7,1;29,0;37,2;26,4;33,4
54118;;San Fernando;27,2;23,3;9,8;8,3;22,8;31,6;20,1;26,5
54119;;San Jacinto;27,1;22,8;10,9;7,9;22,2;31,9;19,8;25,8
54120;;San Pascual;38,2;34,4;9,7;8,3;32,1;44,3;29,7;39,1
54121;;Uson;36,5;27,4;7,9;7,0;31,7;41,2;24,2;30,5
56202;Sorsogon;Barcelona;28,4;21,1;9,2;9,0;24,0;32,7;18,0;24,3
56203;;Bulan;29,5;27,4;6,8;5,8;26,2;32,8;24,8;30,1
56204;;Bulusan;29,0;20,7;9,4;10,1;24,5;33,5;17,2;24,1
56205;;Casiguran;30,6;24,8;9,2;9,5;26,0;35,2;20,9;28,7
56206;;Castilla;35,4;31,6;8,6;8,2;30,4;40,4;27,3;35,8
56207;;Donsol;37,1;37,5;7,4;6,2;32,6;41,6;33,7;41,3
56208;;Gubat;26,4;22,1;8,2;8,4;22,8;29,9;19,0;25,1
56209;;Irosin;32,6;26,4;8,2;7,7;28,3;37,0;23,1;29,8
56210;;Juban;35,7;31,0;9,2;6,4;30,3;41,2;27,8;34,3
56211;;Magallanes;35,9;33,5;8,6;6,9;30,8;41,0;29,7;37,3
56212;;Matnog;37,1;33,0;6,8;7,5;33,0;41,3;28,9;37,0
56213;;Pilar;37,1;32,5;6,4;5,8;33,2;41,0;29,4;35,6
56214;;Prieto Diaz;34,0;29,1;9,5;7,9;28,7;39,3;25,3;32,9
56215;;Santa Magdalena;32,8;28,4;12,2;11,3;26,2;39,3;23,1;33,7
56216;;City of Sorsogon;18,1;20,6;9,7;6,6;15,2;21,0;18,3;22,8
;Region VI (Western Visayas);;;;;;;;;
60401;Aklan;Altavas;14,6;21,7;13,9;11,6;11,3;18,0;17,5;25,8
60402;;Balete;17,3;26,8;15,6;13,4;12,8;21,7;20,9;32,7
60403;;Banga;10,6;14,7;12,1;10,7;8,5;12,7;12,1;17,3
60404;;Batan;14,7;22,8;13,1;10,1;11,5;17,8;19,0;26,5
60405;;Buruanga;16,4;24,2;17,5;11,8;11,7;21,1;19,5;28,9
60406;;Ibajay;13,9;19,0;11,6;9,5;11,3;16,6;16,0;22,0
60407;;Kalibo;6,9;9,8;19,6;8,8;4,7;9,1;8,4;11,2
60408;;Lezo;9,9;15,9;18,2;14,6;6,9;12,8;12,1;19,7
60409;;Libacao;25,7;35,4;10,3;7,8;21,3;30,0;30,8;39,9
60410;;Madalag;21,7;34,2;12,0;6,6;17,4;26,0;30,5;37,9
60411;;Makato;14,0;20,2;14,5;8,8;10,7;17,4;17,3;23,1
60412;;Malay;13,4;16,4;24,3;11,4;8,0;18,7;13,3;19,5
60413;;Malinao;14,6;24,3;13,2;8,8;11,4;17,8;20,8;27,8
60414;;Nabas;16,9;20,9;11,9;9,6;13,6;20,2;17,6;24,2
60415;;New Washington;11,4;13,4;16,0;12,7;8,4;14,3;10,6;16,2
60416;;Numancia;6,6;11,0;19,5;15,5;4,5;8,7;8,2;13,8
60417;;Tangalan;15,3;18,6;17,5;13,0;10,9;19,7;14,6;22,6
60601;Antique;Anini-Y;18,8;22,1;10,8;10,3;15,4;22,1;18,3;25,9
60602;;Barbaza;19,9;22,2;11,0;8,1;16,3;23,5;19,2;25,1
60603;;Belison;13,2;13,9;19,9;12,5;8,9;17,5;11,0;16,8
60604;;Bugasong;19,9;27,2;9,6;7,5;16,8;23,1;23,9;30,6
60605;;Caluya;30,3;27,9;14,8;15,3;22,9;37,6;20,9;34,9
60606;;Culasi;22,6;24,4;9,3;8,0;19,1;26,1;21,2;27,6
60607;;Tobias Fornier;22,5;25,7;9,1;6,2;19,1;25,8;23,1;28,3
60608;;Hamtic;18,5;18,5;9,5;7,3;15,6;21,3;16,3;20,8
60609;;Laua-an;21,9;25,8;8,4;8,2;18,9;24,9;22,4;29,3
60610;;Libertad;19,7;25,2;14,2;9,5;15,1;24,3;21,2;29,1
60611;;Pandan;18,7;18,8;11,1;9,6;15,3;22,1;15,9;21,8
60612;;Patnongon;21,9;24,8;9,6;8,9;18,5;25,4;21,1;28,4
60613;;San Jose;10,4;8,2;14,8;13,8;7,8;12,9;6,3;10,1
60614;;San Remigio;33,1;40,7;7,0;5,9;29,3;36,9;36,8;44,7
60615;;Sebaste;21,2;19,9;15,1;15,2;15,9;26,4;14,9;24,9
60616;;Sibalom;17,7;19,6;8,4;7,4;15,2;20,1;17,2;22,0
60617;;Tibiao;20,7;31,3;11,2;8,3;16,9;24,5;27,0;35,6
60618;;Valderrama;42,6;32,9;9,6;9,5;35,9;49,3;27,8;38,1
61901;Capiz;Cuartero;6,4;16,5;23,3;9,1;3,9;8,8;14,0;18,9
61902;;Dao;6,6;13,3;26,9;12,8;3,7;9,5;10,5;16,1
61903;;Dumalag;4,1;12,9;32,1;16,5;2,0;6,3;9,4;16,4
61904;;Dumarao;8,2;21,2;19,4;10,5;5,6;10,8;17,6;24,9
61905;;Ivisan;6,4;15,8;26,4;11,6;3,6;9,1;12,8;18,9
61906;;Jamindan;12,8;20,7;15,3;11,1;9,6;16,0;16,9;24,5
61907;;Ma-ayon;10,4;18,9;16,1;10,0;7,6;13,1;15,8;22,0
61908;;Mambusao;4,8;14,2;26,5;10,8;2,7;6,9;11,7;16,7
61909;;Panay;6,2;13,3;20,1;11,8;4,1;8,2;10,7;15,9
61910;;Panitan;4,8;10,9;26,0;12,7;2,7;6,9;8,6;13,2
61911;;Pilar;8,9;20,6;18,8;10,8;6,1;11,6;17,0;24,3
61912;;Pontevedra;6,1;15,7;23,8;12,6;3,7;8,4;12,5;19,0
61913;;President Roxas;6,9;15,2;25,5;12,4;4,0;9,8;12,1;18,3
61914;;City of Roxas;7,3;9,5;22,7;10,7;4,6;10,1;7,8;11,2
61915;;Sapi-An;9,0;24,5;27,0;10,8;5,0;12,9;20,1;28,8
61916;;Sigma;6,4;14,7;24,8;15,2;3,8;9,0;11,0;18,3
61917;;Tapaz;12,4;23,2;13,1;8,1;9,8;15,1;20,1;26,3
63001;Iloilo;Ajuy;23,1;26,2;7,7;9,1;20,2;26,0;22,3;30,1
63002;;Alimodian;23,7;21,9;7,6;8,3;20,7;26,7;18,9;24,8
63003;;Anilao;22,6;27,3;9,8;9,9;19,0;26,3;22,9;31,7
63004;;Badiangan;16,0;20,6;10,0;11,0;13,3;18,6;16,9;24,3
63005;;Balasan;20,7;24,2;9,5;10,2;17,5;24,0;20,2;28,3
63006;;Banate;18,8;21,4;11,2;11,2;15,3;22,3;17,5;25,3
63007;;Barotac Nuevo;15,7;18,6;9,1;7,9;13,3;18,0;16,2;21,0
63008;;Barotac Viejo;19,5;23,2;10,8;9,5;16,0;23,0;19,6;26,9
63009;;Batad;23,8;27,0;11,7;10,7;19,2;28,3;22,2;31,8
63010;;Bingawan;22,4;26,0;14,5;13,3;17,0;27,7;20,3;31,6
63012;;Cabatuan;13,5;14,0;8,2;6,8;11,7;15,3;12,4;15,5
63013;;Calinog;27,0;26,8;7,3;6,7;23,8;30,2;23,8;29,7
63014;;Carles;35,8;35,9;7,6;8,4;31,3;40,3;30,9;40,8
63015;;Concepcion;29,2;32,5;9,7;10,8;24,5;33,9;26,7;38,3
63016;;Dingle;17,5;17,1;10,1;9,7;14,6;20,4;14,4;19,9
63017;;Dueñas;20,5;20,6;7,0;8,3;18,2;22,9;17,7;23,4
63018;;Dumangas;14,1;16,2;9,7;8,3;11,9;16,4;14,0;18,4
63019;;Estancia;22,8;23,0;9,7;10,9;19,2;26,4;18,9;27,2
63020;;Guimbal;11,5;11,9;11,3;10,3;9,3;13,6;9,9;13,9
63021;;Igbaras;25,5;25,7;9,0;7,3;21,7;29,2;22,6;28,8
63023;;Janiuay;21,6;22,7;7,5;6,6;19,0;24,3;20,2;25,1
63025;;Lambunao;22,0;24,8;6,2;5,8;19,7;24,2;22,5;27,2
63026;;Leganes;12,4;10,6;14,0;14,9;9,5;15,3;8,0;13,2
63027;;Lemery;19,8;27,9;9,0;8,7;16,9;22,7;23,9;31,9
63028;;Leon;22,1;22,3;7,2;7,6;19,5;24,7;19,5;25,0
63029;;Maasin;20,9;22,4;7,9;7,2;18,2;23,6;19,7;25,0
63030;;Miag-ao;17,4;16,2;6,5;6,1;15,6;19,3;14,6;17,8
63031;;Mina;16,1;16,7;11,5;12,5;13,0;19,1;13,3;20,1
63032;;New Lucena;12,0;12,8;15,4;12,8;9,0;15,1;10,1;15,5
63034;;Oton;11,7;9,5;11,5;10,6;9,5;13,9;7,9;11,2
63035;;City of Passi;21,1;23,0;7,2;7,9;18,6;23,6;20,0;26,0
63036;;Pavia;7,8;4,3;16,0;21,1;5,8;9,9;2,8;5,8
63037;;Pototan;15,4;15,0;7,6;8,6;13,4;17,3;12,9;17,1
63038;;San Dionisio;26,7;30,0;8,9;8,6;22,8;30,7;25,7;34,2
63039;;San Enrique;22,2;22,6;9,7;10,0;18,7;25,7;18,8;26,3
63040;;San Joaquin;26,2;27,8;7,3;6,3;23,0;29,3;24,9;30,7
63041;;San Miguel;14,0;12,1;13,7;14,7;10,9;17,1;9,1;15,0
63042;;San Rafael;21,3;25,0;15,3;13,0;15,9;26,7;19,7;30,4
63043;;Santa Barbara;11,4;11,0;9,7;10,0;9,6;13,2;9,2;12,8
63044;;Sara;19,8;24,6;8,0;7,5;17,2;22,4;21,6;27,7
63045;;Tigbauan;15,6;17,2;8,7;7,3;13,4;17,8;15,1;19,3
63046;;Tubungan;25,4;24,5;9,1;6,3;21,6;29,2;21,9;27,0
63047;;Zarraga;10,8;11,5;13,7;11,6;8,4;13,3;9,3;13,7
64502;Negros Occidental;City of Bago;13,0;20,6;15,4;9,0;9,7;16,3;17,6;23,6
64503;;Binalbagan;16,4;23,6;16,5;11,4;12,0;20,9;19,2;28,1
64504;;City of Cadiz;24,9;22,9;10,5;10,8;20,6;29,1;18,8;26,9
64505;;Calatrava;34,0;32,0;10,4;8,4;28,1;39,8;27,6;36,4
64506;;Candoni;24,8;30,3;16,6;13,8;18,0;31,6;23,5;37,2
64507;;Cauayan;27,3;35,6;9,4;7,6;23,0;31,5;31,2;40,1
64508;;Enrique B. Magalona;21,6;18,0;13,3;7,8;16,9;26,3;15,7;20,3
64509;;City of Escalante;25,3;24,0;13,2;10,4;19,8;30,8;19,9;28,2
64510;;City of Himamaylan;24,0;25,4;11,4;10,2;19,5;28,4;21,2;29,7
64511;;Hinigaran;19,4;19,6;14,4;8,8;14,8;23,9;16,8;22,5
64512;;Hinoba-An (Asia);24,6;32,3;14,5;11,1;18,8;30,5;26,4;38,3
64513;;Ilog;16,9;28,2;14,6;11,2;12,8;21,0;23,0;33,4
64514;;Isabela;28,0;24,0;10,9;10,4;23,0;33,0;19,9;28,0
64515;;City of Kabankalan;28,6;27,4;11,1;7,9;23,4;33,8;23,9;31,0
64516;;City of La Carlota;12,4;13,5;17,3;16,1;8,8;15,9;9,9;17,1
64517;;La Castellana;27,0;26,4;16,0;8,5;19,9;34,1;22,7;30,2
64518;;Manapla;24,0;22,1;15,8;15,3;17,7;30,2;16,6;27,7
64519;;Moises Padilla (Magallon);32,3;33,1;11,6;11,6;26,1;38,5;26,8;39,4
64520;;Murcia;21,3;23,0;15,5;9,3;15,9;26,7;19,4;26,5
64521;;Pontevedra;12,5;19,2;14,6;14,1;9,5;15,5;14,7;23,6
64522;;Pulupandan;7,7;13,4;18,6;13,9;5,4;10,1;10,4;16,5
64523;;City of Sagay;24,1;22,9;11,4;9,2;19,6;28,6;19,4;26,4
64524;;City of San Carlos;28,1;29,8;14,2;9,4;21,5;34,6;25,1;34,4
64525;;San Enrique;10,4;12,6;24,7;23,2;6,2;14,6;7,8;17,5
64526;;City of Silay;17,6;16,3;16,1;12,7;12,9;22,3;12,9;19,7
64527;;City of Sipalay;23,5;30,7;14,5;10,6;17,9;29,1;25,4;36,1
64528;;City of Talisay;3,5;10,9;34,4;12,7;1,5;5,5;8,6;13,2
64529;;Toboso;20,3;28,7;20,9;13,9;13,3;27,2;22,1;35,2
64530;;Valladolid;10,3;15,8;18,9;11,3;7,1;13,5;12,9;18,8
64531;;City of Victorias;12,9;16,6;17,0;10,9;9,3;16,5;13,6;19,5
64532;;Salvador Benedicto;32,4;38,3;16,4;13,4;23,7;41,1;29,8;46,7
67901;Guimaras;Buenavista;7,0;14,4;18,3;8,9;4,9;9,1;12,3;16,5
67902;;Jordan;10,3;14,6;21,0;12,3;6,8;13,9;11,7;17,6
67903;;Nueva Valencia;15,2;17,0;16,0;10,0;11,2;19,2;14,2;19,8
67904;;San Lorenzo;15,9;14,6;22,7;11,3;10,0;21,8;11,9;17,3
67905;;Sibunag;14,6;20,0;18,9;14,3;10,1;19,1;15,3;24,6
;Region VII (Central Visayas);;;;;;;;;
71201;Bohol;Alburquerque;10,4;16,9;17,3;17,8;7,4;13,4;12,0;21,9
71202;;Alicia;27,6;30,3;11,9;12,5;22,2;33,0;24,1;36,5
71203;;Anda;25,4;26,1;11,2;10,4;20,6;30,2;21,6;30,5
71204;;Antequera;15,6;18,3;14,0;10,8;12,0;19,2;15,1;21,6
71205;;Baclayon;11,2;12,0;14,2;18,9;8,6;13,8;8,3;15,7
71206;;Balilihan;20,5;23,0;9,2;9,1;17,4;23,6;19,6;26,5
71207;;Batuan;23,3;30,5;10,6;10,1;19,2;27,4;25,4;35,6
71208;;Bilar;20,1;23,4;10,8;12,1;16,5;23,7;18,7;28,0
71209;;Buenavista;32,6;32,3;7,8;7,3;28,5;36,7;28,4;36,2
71210;;Calape;17,4;22,2;8,4;9,4;14,9;19,9;18,8;25,7
71211;;Candijay;21,4;25,6;10,4;10,6;17,8;25,0;21,1;30,0
71212;;Carmen;25,0;31,9;9,2;7,4;21,2;28,8;28,0;35,9
71213;;Catigbian;23,0;27,5;10,6;10,4;19,1;27,0;22,8;32,2
71214;;Clarin;17,4;23,2;11,5;9,3;14,1;20,7;19,7;26,7
71215;;Corella;10,1;12,9;21,4;21,8;6,5;13,7;8,3;17,6
71216;;Cortes;12,5;14,5;14,4;15,5;9,5;15,5;10,8;18,2
71217;;Dagohoy;27,5;31,8;11,7;10,3;22,2;32,8;26,5;37,2
71218;;Danao;29,2;33,6;8,9;9,6;24,9;33,5;28,3;38,9
71219;;Dauis;10,8;14,0;17,5;17,8;7,7;13,9;9,9;18,1
71220;;Dimiao;22,2;22,6;8,7;9,1;19,1;25,3;19,2;26,0
71221;;Duero;21,6;23,2;9,5;12,8;18,2;25,1;18,3;28,1
71222;;Garcia Hernandez;17,6;22,2;10,3;9,5;14,6;20,6;18,7;25,7
71223;;Guindulman;23,2;24,0;9,4;11,3;19,6;26,8;19,6;28,5
71224;;Inabanga;25,4;29,9;7,2;7,2;22,4;28,4;26,4;33,5
71225;;Jagna;17,9;20,8;9,3;10,3;15,1;20,7;17,3;24,3
71226;;Jetafe;33,9;37,6;7,1;7,6;30,0;37,9;32,9;42,2
71227;;Lila;17,9;17,9;12,2;14,2;14,3;21,5;13,7;22,1
71228;;Loay;10,4;16,5;13,5;11,9;8,1;12,7;13,3;19,8
71229;;Loboc;12,8;18,3;12,9;11,5;10,0;15,6;14,8;21,8
71230;;Loon;17,8;21,1;6,8;8,6;15,8;19,8;18,1;24,1
71231;;Mabini;26,9;28,9;9,6;7,5;22,6;31,2;25,4;32,5
71232;;Maribojoc;10,8;15,0;14,0;11,9;8,3;13,3;12,1;18,0
71233;;Panglao;12,6;16,8;18,3;16,9;8,8;16,4;12,1;21,4
71234;;Pilar;31,3;34,4;9,2;9,1;26,5;36,1;29,2;39,5
71235;;Pres. Carlos P. Garcia;36,5;36,8;7,9;9,1;31,7;41,3;31,3;42,3
71236;;Sagbayan;21,5;25,0;9,1;11,1;18,2;24,8;20,5;29,6
71237;;San Isidro;25,8;26,9;12,1;14,3;20,7;30,9;20,6;33,3
71238;;San Miguel;27,1;32,1;9,5;10,1;22,8;31,4;26,7;37,4
71239;;Sevilla;22,1;27,1;12,6;10,8;17,5;26,7;22,2;31,9
71240;;Sierra Bullones;27,3;33,6;8,4;9,3;23,5;31,1;28,5;38,8
71241;;Sikatuna;15,6;16,8;17,1;17,1;11,2;20,0;12,1;21,5
71242;;City of Tagbilaran;3,4;10,5;22,9;15,2;2,1;4,7;7,8;13,1
71243;;Talibon;26,5;29,5;6,9;8,0;23,5;29,5;25,6;33,4
71244;;Trinidad;25,2;31,4;9,0;9,7;21,4;29,0;26,4;36,3
71245;;Tubigon;16,3;23,4;9,9;7,6;13,7;18,9;20,4;26,3
71246;;Ubay;25,7;30,6;7,0;6,9;22,7;28,7;27,2;34,1
71247;;Valencia;22,0;24,9;6,5;8,6;19,7;24,3;21,4;28,5
71248;;Bien Unido;32,0;38,7;9,5;8,4;27,1;36,9;33,4;44,1
72201;Cebu;Alcantara;22,3;35,8;15,3;12,2;16,7;27,9;28,6;43,0
72202;;Alcoy;22,9;46,3;15,8;12,8;17,0;28,8;36,6;56,1
72203;;Alegria;23,2;45,3;14,2;9,1;17,8;28,6;38,5;52,1
72204;;Aloguinsan;22,7;39,2;12,2;10,8;18,1;27,3;32,3;46,2
72205;;Argao;15,9;35,0;8,4;6,5;13,8;18,0;31,3;38,7
72206;;Asturias;26,0;42,5;9,6;7,4;21,9;30,1;37,3;47,7
72207;;Badian;26,5;43,2;8,1;6,7;22,9;30,1;38,4;48,0
72208;;Balamban;18,9;34,0;11,2;8,6;15,5;22,4;29,2;38,8
72209;;Bantayan;23,5;41,3;9,0;7,8;20,1;27,0;36,0;46,6
72210;;Barili;23,5;38,2;6,9;5,2;20,9;26,1;34,9;41,5
72211;;City of Bogo;13,1;27,6;12,1;9,0;10,5;15,7;23,5;31,7
72212;;Boljoon;23,3;47,1;12,9;9,2;18,4;28,2;39,9;54,2
72213;;Borbon;20,7;39,8;11,1;7,6;16,9;24,5;34,8;44,8
72214;;City of Carcar;13,8;30,7;14,5;11,2;10,5;17,1;25,1;36,4
72215;;Carmen;14,1;29,3;11,0;9,9;11,5;16,7;24,5;34,1
72216;;Catmon;16,1;35,4;12,0;9,1;13,0;19,2;30,1;40,7
72218;;Compostela;12,4;24,8;10,9;11,8;10,1;14,7;20,0;29,6
72219;;Consolacion;6,6;18,7;19,3;11,0;4,5;8,7;15,3;22,1
72220;;Cordova;9,0;23,0;18,7;14,0;6,2;11,8;17,7;28,3
72221;;Daanbantayan;17,8;35,8;11,3;8,1;14,5;21,1;31,0;40,6
